"organismo","organismo_descripcion","email_oficial","fuero","circunscripcion","localidad","categoria","tipo","materia"
"jdopaz0000hez","Jdo Paz Hernandez","jdopazcat3-her@jusentrerios.gov.ar","Civil y Comercial","Nogoyá","Hernandez",2,"jdo","paz"
"jdopaz0000ibi","Jdo Paz Ibicuy","jdopazcat3-ibi@jusentrerios.gov.ar","Civil y Comercial","Islas del Ibicuy","Ibicuy",3,"jdo","paz"
"jdopaz0000lar","Jdo Paz Larroque","jdopazcat2-lar@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Larroque",2,"jdo","paz"
"jdopaz0000lgo","Jdo Paz Lucas Gonzalez","jdopazcat3-lgon@jusentrerios.gov.ar","Civil y Comercial","Nogoyá","Lucas Gonzalez",3,"jdo","paz"
"jdopaz0000mac","Jdo Paz Macia","jdopazcat2-mac@jusentrerios.gov.ar","Civil y Comercial","Tala","Macia",2,"jdo","paz"
"jdopaz0000man","Jdo Paz Mansilla","jdopazcat3-man@jusentrerios.gov.ar","Civil y Comercial","Tala","Mansilla",3,"jdo","paz"
"jdopaz0000mgr","Jdo Paz Maria Grande","jdopazcat2-mgra@jusentrerios.gov.ar","Civil y Comercial","Paraná","Maria Grande",2,"jdo","paz"
"jdopaz0000ove","Jdo Paz Oro Verde","jdopazcat3-ov@jusentrerios.gov.ar","Civil y Comercial","Paraná","Oro Verde",3,"jdo","paz"
"jdopaz0000pbr","Jdo Paz Pueblo Brugo","jdopazcat3-pbru@jusentrerios.gov.ar","Civil y Comercial","Paraná","Pueblo Brugo",3,"jdo","paz"
"jdopaz0000ram","Jdo Paz Ramirez","jdopazcat2-ram@jusentrerios.gov.ar","Civil y Comercial","Diamante","Ramirez",2,"jdo","paz"
"jdopaz0000sbe","Jdo Paz San Benito","jdopazcat2-sbenito@jusentrerios.gov.ar","Civil y Comercial","Paraná","San Benito",2,"jdo","paz"
"jdopaz0000seg","Jdo Paz Segui","jdopazcat3-seg@jusentrerios.gov.ar","Civil y Comercial","Paraná","Segui",3,"jdo","paz"
"jdopaz0000sel","Jdo de Paz Sta Elena","jdopazcat2-ele@jusentrerios.gov.ar","Civil y Comercial","La Paz","Santa Elena",2,"jdo","paz"
"jdopaz0000sja","Jdo Paz San Jaime Front","jdopazcat3-sjf@jusentrerios.gov.ar","Civil y Comercial","Chajarí","San Jaime de la Frontera",3,"jdo","paz"
"jdopaz0000sjo","Jdo Paz San Jose","jdopazcat2-sjose@jusentrerios.gov.ar","Civil y Comercial","Colón","San Jose",2,"jdo","paz"
"jdopaz0000slu","Jdo Paz Sauce de Luna","jdopazcat2-luna@jusentrerios.gov.ar","Civil y Comercial","Federal","Sauce de Luna",2,"jdo","paz"
"jdopaz0000uba","Jdo Paz Ubajay","jdopazcat2-uba@jusentrerios.gov.ar","Civil y Comercial","Colón","Ubajay",3,"jdo","paz"
"jdopaz0000urd","Jdo Paz Urdinarrain","jdopazcat2-urd@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Urdinarrain",2,"jdo","paz"
"jdopaz0000vca","Jdo Paz Villa Clara","jdopazcat3-vcla@jusentrerios.gov.ar","Civil y Comercial","Villaguay","Villa Clara",3,"jdo","paz"
"jdopaz0000vdo","Jdo Paz Villa Dominguez","jdopazcat3-vdom@jusentrerios.gov.ar","Civil y Comercial","Villaguay","Villa Dominguez",3,"jdo","paz"
"jdopaz0000vel","Jdo Paz Villa Elisa","jdopazcat2-veli@jusentrerios.gov.ar","Civil y Comercial","Colón","Villa Elisa",2,"jdo","paz"
"jdopaz0000via","Jdo Paz Viale","jdopazcat2-via@jusentrerios.gov.ar","Civil y Comercial","Paraná","Viale",2,"jdo","paz"
"jdopaz0000vma","Jdo Paz Villa Mantero","jdopazcat3-vman@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Villa Mantero",3,"jdo","paz"
"jdopaz0000vpa","Jdo Paz V.Paranacito","jdopaz-vpa@jusentrerios.gov.ar","Civil y Comercial","Islas del Ibicuy","Villa Paranacito",3,"jdo","paz"
"jdopaz0000vsa","Jdo Paz Villa San Marcial","jdopazcat3-vsm@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Villa San Marcial",3,"jdo","paz"
"jdopaz0000vur","Jdo Paz Villa Urquiza","jdopazcat3-vu@jusentrerios.gov.ar","Civil y Comercial","Paraná","Villa Urquiza",3,"jdo","paz"
"jdopaz0000ara","Jdo Paz Aranguren","jdopazcat3-ara@jusentrerios.gov.ar","Civil y Comercial","Nogoyá","Aranguren",3,"jdo","paz"
